name,source,externalid,url,definition,reaction,control,cids,protacxns,geneids,taxid,taxname,ecs,pmids,cidsreactant,cidsproduct
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,Fru(6)P ⟶ beta-D-glucose-6-phosphate,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/69507'>Fru(6)P</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439427'>beta-D-glucose-6-phosphate</a>,activated by glucose 6-phosphate isomerases,439427|69507,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,69507,439427
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,D-erythrose-4-phosphate + H2O + PEP ⟶ 3-deoxy-D-arabino-heptulosonate-7-phosphate + Pi,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/122357'>D-erythrose-4-phosphate</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/638308'>PEP</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/962'>H2O</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/1061'>Pi</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/160647'>3-deoxy-D-arabino-heptulosonate-7-phosphate</a>,activated by CHLRE_17g726750v5,1061|122357|160647|638308|962,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,122357|638308|962,1061|160647
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,3-deoxy-D-arabino-heptulosonate-7-phosphate ⟶ 3DHQ + Pi,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/160647'>3-deoxy-D-arabino-heptulosonate-7-phosphate</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/1061'>Pi</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5460271'>3DHQ</a>,activated by CHLRE_08g368950v5,1061|160647|5460271,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,160647,1061|5460271
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,3DHQ ⟶ 3-dehydro-shikimate + H2O,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/5460271'>3DHQ</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439774'>3-dehydro-shikimate</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/962'>H2O</a>,activated by CHLRE_08g380201v5,439774|5460271|962,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,5460271,439774|962
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,3-dehydro-shikimate + TPNH ⟶ SKM + TPN,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/439774'>3-dehydro-shikimate</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5884'>TPNH</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5886'>TPN</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/8742'>SKM</a>,activated by CHLRE_08g380201v5,439774|5884|5886|8742,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,439774|5884,5886|8742
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,5-enolpyruvyl-shikimate-3-phosphate + Pi ⟶ CRSM,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/1061'>Pi</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439463'>5-enolpyruvyl-shikimate-3-phosphate</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/12039'>CRSM</a>,activated by CHLRE_03g145747v5,1061|12039|439463,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,1061|439463,12039
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,BETALD + H2O + NAD+ ⟶ BET + NADH,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/249'>BETALD</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5893'>NAD+</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/962'>H2O</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/247'>BET</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439153'>NADH</a>,activated by CHLRE_13g605650v5,247|249|439153|5893|962,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,249|5893|962,247|439153
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,2OG + L-Asp ⟶ L-Glu + OA,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/164533'>2OG</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5460294'>L-Asp</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5460299'>L-Glu</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/970'>OA</a>,activated by aspartate transaminase,164533|5460294|5460299|970,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,164533|5460294,5460299|970
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,L-Lys ⟶ cadaverine + carbon dioxide,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/5460926'>L-Lys</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/273'>cadaverine</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/280'>carbon dioxide</a>,activated by CHLRE_03g205900v5,273|280|5460926,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,5460926,273|280
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,H2O + NAD + SACN ⟶ L-Glu + NADH + allysine,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/160556'>SACN</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5893'>NAD</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/962'>H2O</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/207'>allysine</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439153'>NADH</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5460299'>L-Glu</a>,activated by CHLRE_16g666050v5,160556|207|439153|5460299|5893|962,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,160556|5893|962,207|439153|5460299
